name,iters,time,cycles,cpuTime,utime,stime,maxrss,minflt,majflt,nvcsw,nivcsw,allocated,numGcs,bytesCopied,mutatorWallSeconds,mutatorCpuSeconds,gcWallSeconds,gcCpuSeconds
filtering/dropWhile-true/streamly,47,3.3621475e-2,73796420,3.3658e-2,0.0,0.0,2789376,0,0,0,3,0,0,0,3.3625877e-2,3.3633e-2,0.0,0.0
filtering/dropWhile-true/streamly,49,3.6233917e-2,79530502,3.6212e-2,0.0,0.0,2789376,0,0,0,10,0,0,0,3.6239432e-2,3.6101e-2,0.0,0.0
filtering/dropWhile-true/streamly,52,4.5909294e-2,100767202,4.5913e-2,0.0,0.0,2789376,0,0,0,12,0,0,0,4.591819e-2,4.5793e-2,0.0,0.0
filtering/dropWhile-true/streamly,54,4.0375739e-2,88621493,4.0402e-2,0.0,0.0,2789376,0,0,0,4,0,0,0,4.038421e-2,4.0378e-2,0.0,0.0
filtering/dropWhile-true/streamly,57,4.283054e-2,94009646,4.2799e-2,0.0,0.0,2789376,0,0,0,10,0,0,0,4.2839294e-2,4.2678e-2,0.0,0.0
filtering/dropWhile-true/streamly,60,4.9767095e-2,109234695,4.9509e-2,0.0,0.0,2789376,0,0,0,12,0,0,0,4.977642e-2,4.9443e-2,0.0,0.0
filtering/dropWhile-true/streamly,63,4.9968316e-2,109676408,4.9978e-2,0.0,0.0,2789376,0,0,0,6,0,0,0,4.9974146e-2,4.9919e-2,0.0,0.0
filtering/dropWhile-true/streamly,66,4.8633048e-2,106745600,4.8665e-2,0.0,0.0,2789376,0,0,0,4,0,0,0,4.8637284e-2,4.8645e-2,0.0,0.0
filtering/dropWhile-true/streamly,69,5.2059946e-2,114267368,5.2078e-2,0.0,0.0,2789376,0,0,0,5,0,0,0,5.2075808e-2,5.206e-2,0.0,0.0
filtering/dropWhile-true/streamly,73,5.3317386e-2,117027354,5.3359e-2,0.0,0.0,2789376,0,0,0,4,0,0,0,5.3323147e-2,5.3326e-2,0.0,0.0
filtering/dropWhile-true/streamly,76,5.6703638e-2,124459938,5.6691e-2,0.0,0.0,2789376,0,0,0,11,0,0,0,5.671189e-2,5.6646e-2,0.0,0.0
filtering/dropWhile-true/streamly,80,6.1773381e-2,135587586,6.182e-2,0.0,0.0,2789376,0,0,0,6,0,0,0,6.1777856e-2,6.1776e-2,0.0,0.0
filtering/dropWhile-true/streamly,84,6.5519807e-2,143810686,6.5514e-2,0.0,0.0,2789376,0,0,0,17,0,0,0,6.5527833e-2,6.5342e-2,0.0,0.0
filtering/dropWhile-true/streamly,89,6.6390285e-2,145721310,6.641e-2,0.0,0.0,2789376,0,0,0,11,0,0,0,6.6397127e-2,6.6324e-2,0.0,0.0
filtering/dropWhile-true/streamly,93,7.1747846e-2,157480754,7.1765e-2,0.0,0.0,2793472,0,0,0,11,0,0,0,7.17573e-2,7.1693e-2,0.0,0.0
filtering/dropWhile-true/streamly,98,7.8289031e-2,171838148,7.8288e-2,0.0,0.0,2793472,0,0,0,15,0,0,0,7.8298325e-2,7.8175e-2,0.0,0.0
filtering/dropWhile-true/streamly,103,7.5797718e-2,166369820,7.5828e-2,0.0,0.0,2793472,0,0,0,17,0,0,0,7.5805336e-2,7.5663e-2,0.0,0.0
filtering/dropWhile-true/streamly,108,8.4727318e-2,185969616,8.4712e-2,0.0,0.0,2793472,0,0,0,15,0,0,0,8.4733921e-2,8.3904e-2,0.0,0.0
filtering/dropWhile-true/streamly,113,8.5957515e-2,188669876,8.5975e-2,0.0,0.0,2793472,0,0,0,13,0,0,0,8.5968277e-2,8.5875e-2,0.0,0.0
filtering/dropWhile-true/streamly,119,8.9058889e-2,195477050,8.9002e-2,0.0,0.0,2793472,0,0,0,21,0,0,0,8.9066144e-2,8.8785e-2,0.0,0.0
filtering/dropWhile-true/streamly,125,9.4129868e-2,206607452,9.4075e-2,0.0,0.0,2793472,0,0,0,13,0,0,0,9.4136449e-2,9.3926e-2,0.0,0.0
filtering/dropWhile-true/streamly,131,0.101574261,222947290,0.101601,0.0,0.0,2805760,0,0,0,15,0,0,0,0.101581204,0.101457,0.0,0.0
filtering/dropWhile-true/streamly,138,0.10563041,231850224,0.105612,0.0,0.0,2805760,0,0,0,20,0,0,0,0.105637587,0.105454,0.0,0.0
filtering/dropWhile-true/streamly,144,0.109134927,239542410,0.109114,0.0,0.0,2805760,0,0,0,40,0,0,0,0.109143118,0.108923,0.0,0.0
filtering/dropWhile-true/streamly,152,0.112487602,246901186,0.112524,0.0,0.0,2805760,0,0,0,15,0,0,0,0.112495794,0.112445,0.0,0.0
filtering/dropWhile-true/streamly,159,0.123404922,270863974,0.12345,0.0,0.0,2805760,0,0,0,19,0,0,0,0.123413926,0.123344,0.0,0.0
filtering/dropWhile-true/streamly,167,0.131667635,288999804,0.131656,0.0,0.0,2805760,0,0,0,27,0,0,0,0.131675865,0.13133,0.0,0.0
filtering/dropWhile-true/streamly,176,0.13512165,296581278,0.135118,0.0,0.0,2805760,0,0,0,35,0,0,0,0.135129442,0.134823,0.0,0.0
filtering/dropWhile-true/streamly,185,0.141320179,310186364,0.141309,0.0,0.0,2805760,0,0,0,20,0,0,0,0.141326814,0.141155,0.0,0.0
filtering/dropWhile-true/streamly,194,0.14375156,315523054,0.143796,0.0,0.0,2805760,0,0,0,15,0,0,0,0.143759139,0.143723,0.0,0.0
filtering/dropWhile-true/streamly,204,0.15180371,333196874,0.151833,0.0,0.0,2805760,0,0,0,23,0,0,0,0.151810796,0.151677,0.0,0.0
filtering/dropWhile-true/streamly,214,0.160094449,351394374,0.160143,0.0,0.0,2805760,0,0,0,24,0,0,0,0.160102148,0.159974,0.0,0.0
filtering/dropWhile-true/streamly,224,0.175278235,384721584,0.175358,0.0,0.0,2805760,0,0,0,32,0,0,0,0.175287016,0.175135,0.0,0.0
filtering/dropWhile-true/streamly,236,0.179488474,393962666,0.179588,0.0,0.0,2805760,0,0,0,23,0,0,0,0.17949688,0.17942,0.0,0.0
filtering/dropWhile-true/streamly,247,0.180852393,396956372,0.18091,0.0,0.0,2805760,0,0,0,23,0,0,0,0.180859748,0.180782,0.0,0.0
filtering/dropWhile-true/streamly,260,0.194774008,427513208,0.194841,0.0,0.0,2805760,0,0,0,25,0,0,0,0.194782022,0.194665,0.0,0.0
filtering/dropWhile-true/streamly,273,0.214672315,471188392,0.214678,0.0,0.0,2805760,0,0,0,44,0,0,0,0.214680629,0.214339,0.0,0.0
filtering/dropWhile-true/streamly,287,0.214285786,470339964,0.214381,0.0,0.0,2805760,0,0,0,31,0,0,0,0.214293652,0.214199,0.0,0.0
filtering/dropWhile-true/streamly,301,0.220628897,484262950,0.22068,0.0,0.0,2809856,1,0,0,28,0,0,0,0.220659246,0.220525,0.0,0.0
filtering/dropWhile-true/streamly,316,0.231453857,508022506,0.231467,0.0,0.0,2818048,1,0,0,41,0,0,0,0.231465973,0.231077,0.0,0.0
filtering/dropWhile-true/streamly,332,0.255590113,560999646,0.255188,0.0,0.0,2830336,2,0,0,49,0,0,0,0.255599321,0.254926,0.0,0.0
filtering/dropWhile-true/streaming,2,4.668317e-2,102465786,4.6713e-2,0.0,0.0,3596288,0,0,0,6,415334488,400,21240,4.5910868e-2,4.5552e-2,7.77698e-4,5.68e-4
filtering/dropWhile-true/streaming,3,7.8109213e-2,171443410,7.8118e-2,0.0,0.0,3596288,0,0,0,12,623001712,600,30968,7.6826989e-2,7.5998e-2,1.287721e-3,9.85e-4
filtering/dropWhile-true/streaming,4,0.109454429,240243638,0.109392,0.0,0.0,3596288,0,0,0,30,831707240,801,40736,0.10770886,0.106526,1.75149e-3,1.338e-3
filtering/dropWhile-true/streaming,5,0.127541833,279944006,0.127544,0.0,0.0,3596288,0,0,0,27,1039374464,1001,50472,0.125399482,0.124071,2.149756e-3,1.636e-3
filtering/dropWhile-true/streaming,6,0.141837131,311321050,0.141847,0.0,0.0,3596288,0,0,0,20,1247041656,1201,60176,0.139484062,0.138214,2.35951e-3,1.753e-3
filtering/dropWhile-true/streaming,7,0.16743992,367517102,0.16753,0.0,0.0,3596288,0,0,0,17,1455747216,1402,69944,0.164723227,0.163317,2.72275e-3,2.067e-3
filtering/dropWhile-true/streaming,8,0.193485838,424685776,0.193547,0.0,0.0,3596288,0,0,0,27,1663414408,1602,79664,0.190357719,0.188727,3.134287e-3,2.355e-3
filtering/dropWhile-true/streaming,9,0.221935974,487131528,0.222012,0.0,0.0,3596288,0,0,0,36,1871081632,1802,89384,0.218178885,0.215991,3.763342e-3,2.886e-3
filtering/dropWhile-true/streaming,10,0.255702084,561245408,0.255188,0.0,0.0,3596288,0,0,0,60,2079787160,2003,99152,0.251394946,0.248246,4.314135e-3,3.23e-3
filtering/dropWhile-true/streaming,11,0.267960614,588151888,0.268051,0.0,0.0,3596288,0,0,0,31,2287454384,2203,108872,0.263571868,0.261267,4.395374e-3,3.257e-3
filtering/dropWhile-true/streaming,12,0.289339974,635077868,0.289423,0.0,0.0,3596288,0,0,0,50,2495121768,2403,118592,0.284611067,0.281996,4.735787e-3,3.61e-3
filtering/dropWhile-true/streaming,13,0.32468574,712658912,0.324706,0.0,0.0,3596288,0,0,0,78,2703827136,2604,128360,0.319349345,0.316098,5.35355e-3,4.073e-3
filtering/dropWhile-true/streaming,14,0.354495293,778088514,0.354544,0.0,0.0,3596288,0,0,0,63,2911494448,2804,138080,0.348607631,0.345188,5.893959e-3,4.499e-3
filtering/dropWhile-true/streaming,15,0.365498074,802238754,0.365621,0.0,0.0,3596288,0,0,0,54,3119161640,3004,147800,0.359583162,0.356446,5.921993e-3,4.476e-3
filtering/dropWhile-true/streaming,16,0.379750474,833521576,0.379881,0.0,0.0,3596288,0,0,0,42,3327867200,3205,157568,0.373580981,0.370342,6.176796e-3,4.624e-3
filtering/dropWhile-true/streaming,17,0.416679589,914578008,0.416745,0.0,0.0,3596288,0,0,0,57,3535534392,3405,167288,0.409931762,0.406277,6.754573e-3,5.085e-3
filtering/dropWhile-true/streaming,18,0.440516978,966899160,0.440653,0.0,0.0,3596288,0,0,0,66,3743201616,3605,177008,0.433261664,0.429406,7.261489e-3,5.467e-3
filtering/dropWhile-true/streaming,19,0.476407428,1045675790,0.476529,0.0,0.0,3596288,0,0,0,79,3951907144,3806,186776,0.468638935,0.464324,7.774617e-3,5.876e-3
filtering/dropWhile-true/streaming,20,0.479691529,1052884134,0.479812,0.0,0.0,3596288,0,0,0,71,4159574368,4006,196496,0.471813941,0.467624,7.88419e-3,5.876e-3
filtering/dropWhile-true/pipes,1,4.2411805e-2,93090490,4.2409e-2,4.1904e-2,0.0,3592192,1,0,0,8,271560776,260,22816,4.1886719e-2,4.1485e-2,5.51376e-4,4.2e-4
filtering/dropWhile-true/pipes,2,9.0970927e-2,199673854,9.0975e-2,0.0,0.0,3600384,0,0,0,15,543129536,520,43696,8.9791159e-2,8.8905e-2,1.187115e-3,9.06e-4
filtering/dropWhile-true/pipes,3,0.137841433,302550805,0.137334,0.0,0.0,3600384,0,0,0,62,815738824,781,56344,0.136041271,0.134252,1.808604e-3,1.374e-3
filtering/dropWhile-true/pipes,4,0.182017603,399513918,0.181953,0.0,0.0,3600384,0,0,0,35,1087303632,1041,71056,0.1796097,0.17809,2.416039e-3,1.828e-3
filtering/dropWhile-true/pipes,5,0.199087659,436981299,0.199208,0.0,0.0,3600384,0,0,0,18,1359912920,1302,100408,0.196593635,0.195383,2.499958e-3,1.899e-3
filtering/dropWhile-true/pipes,6,0.250945725,550805594,0.251023,0.0,0.0,3600384,0,0,0,35,1631477720,1562,127584,0.247728738,0.245916,3.223611e-3,2.432e-3
filtering/dropWhile-true/pipes,7,0.285613573,626898708,0.285696,0.0,0.0,3600384,0,0,0,35,1903042464,1822,148520,0.281971714,0.280049,3.648339e-3,2.767e-3
filtering/dropWhile-true/pipes,8,0.330309903,725003538,0.330373,0.0,0.0,3600384,0,0,0,43,2175651784,2083,169536,0.326147839,0.323792,4.167786e-3,3.159e-3
filtering/dropWhile-true/pipes,9,0.373497599,819797042,0.373521,0.0,0.0,3600384,0,0,0,77,2447216624,2343,190472,0.368759634,0.365828,4.744253e-3,3.605e-3
filtering/dropWhile-true/pipes,10,0.407393385,894195560,0.407481,0.0,0.0,3600384,0,0,0,67,2719825904,2604,211488,0.402197112,0.399311,5.202521e-3,3.876e-3
filtering/dropWhile-true/pipes,11,0.444472385,975580962,0.444585,0.0,0.0,3600384,0,0,0,68,2991390712,2864,224104,0.438925608,0.435682,5.553228e-3,4.155e-3
filtering/dropWhile-true/pipes,12,0.498188665,1093483852,0.498277,0.0,0.0,3600384,0,0,0,79,3264000000,3125,238856,0.491832342,0.488145,6.362968e-3,4.8e-3
filtering/dropWhile-true/pipes,13,0.542565032,1190886412,0.542402,0.0,0.0,3600384,0,0,0,79,3535564808,3385,268112,0.535693712,0.531479,6.877533e-3,5.183e-3
filtering/dropWhile-true/pipes,14,0.576301473,1264935160,0.576436,0.0,0.0,3600384,0,0,0,79,3807129608,3645,295288,0.569093545,0.564886,7.214179e-3,5.415e-3
filtering/dropWhile-true/pipes,15,0.624213157,1370097428,0.624268,0.0,0.0,3600384,0,0,0,94,4079738832,3906,316304,0.616216685,0.611794,8.002766e-3,5.895e-3
